date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:11	12258/12258	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Sep%202020%2011:10:27%20GMT	http://tasarimussu.com.tr/src/perfect-scrollbar.js	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/src/perfect-scrollbar.js	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:11	1381/1381	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:20%20GMT	http://tasarimussu.com.tr/img/menu_studyo_H.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_studyo_H.png	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:11	1137/1137	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:21%20GMT	http://tasarimussu.com.tr/img/menu_haberler_H.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_haberler_H.png	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:11	1292/1292	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:22%20GMT	http://tasarimussu.com.tr/img/menu_hizmetler_H.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/menu_hizmetler_H.png	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:12	16319/16319	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:13%20GMT	http://tasarimussu.com.tr/haberler_basin.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/haberler_basin.html	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:12	10141/10141	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:13%20GMT	http://tasarimussu.com.tr/haberler_internet.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/haberler_internet.html	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:12	6750/6750	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:13%20GMT	http://tasarimussu.com.tr/haberler_bultenler.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/haberler_bultenler.html	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:13	4606/4606	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:19%20GMT	http://tasarimussu.com.tr/img/playSR.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/playSR.png	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:13	447/447	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:19%20GMT	http://tasarimussu.com.tr/img/EN.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/img/EN.png	(from http://tasarimussu.com.tr/haberler_bizden.php)
17:47:13	6060/6060	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:14%20GMT	http://tasarimussu.com.tr/studyo_felsefe.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/studyo_felsefe.html	(from http://tasarimussu.com.tr/haberler_bizden.php)
